,,,,,,
,(In ₹ Crores),,,,,
,,, Budget Estimates2026-2027 ,,,
,,,Revenue,Capital,Total,Page No
,57. ,Transfers to Delhi,968.01,380,1348.01,203-203   
,58. ,Transfers to Jammu and Kashmir,43290.29,0,43290.29,204-204   
,59. ,Transfers to Puducherry,3517.87,0.01,3517.88,205-205   
,Ministry of Housing and Urban Affairs,,50714.32,34808.07,85522.39,
,60. ,Ministry of Housing and Urban Affairs,50714.32,34808.07,85522.39,206-212   
,Ministry of Information and Broadcasting,,4494.56,57.38,4551.94,
,61. ,Ministry of Information and Broadcasting,4494.56,57.38,4551.94,213-215   
,Ministry of Jal Shakti,,94330.98,476.86,94807.84,
,62. ,Department of Water Resources River Development and Ganga Rejuvenation,19437.32,475.66,19912.98,216-222   
,63. ,Department of Drinking Water and Sanitation,74893.66,1.2,74894.86,223-224   
,Ministry of Labour and Employment,,32625.33,40.98,32666.31,
,64. ,Ministry of Labour and Employment,32625.33,40.98,32666.31,225-228   
,Ministry of Law and Justice,,5193.47,319.92,5513.39,
,65. ,Law and Justice,4259.59,249.47,4509.06,229-231   
,66. ,Election Commission,367.69,14.53,382.22,232-232   
,67. ,Supreme Court of India,566.19,55.92,622.11,233-233   
,Ministry of Micro Small and Medium Enterprises,,22647.26,1919.01,24566.27,
,68. ,Ministry of Micro Small and Medium Enterprises,22647.26,1919.01,24566.27,234-238   
,Ministry of Mines,,3642.8,163.65,3806.45,
,69. ,Ministry of Mines,3642.8,163.65,3806.45,239-241   
,Ministry of Minority Affairs,,3395.62,4.38,3400,
,70. ,Ministry of Minority Affairs,3395.62,4.38,3400,242-245   
,Ministry of New and Renewable Energy,,32911.14,3.53,32914.67,
,71. ,Ministry of New and Renewable Energy,32911.14,3.53,32914.67,246-249   
,Ministry of Panchayati Raj,,1186.88,3.28,1190.16,
,72. ,Ministry of Panchayati Raj,1186.88,3.28,1190.16,250-251   
,Ministry of Parliamentary Affairs,,61.18,7.27,68.45,
,73. ,Ministry of Parliamentary Affairs,61.18,7.27,68.45,252-252   
,Ministry of Personnel Public Grievances and Pensions,,2507.22,154.79,2662.01,
,74. ,Ministry of Personnel Public Grievances and Pensions,2454.37,153.08,2607.45,253-255   
,75. ,Central Vigilance Commission,52.85,1.71,54.56,256-256   
,Ministry of Petroleum and Natural Gas,,30204.77,238.45,30443.22,
,76. ,Ministry of Petroleum and Natural Gas,30204.77,238.45,30443.22,257-260   
,Ministry of Planning,,1203.38,28.78,1232.16,
,77. ,Ministry of Planning,1203.38,28.78,1232.16,261-262   
,Ministry of Ports Shipping and Waterways,,3964.88,1199.92,5164.8,
,78. ,Ministry of Ports Shipping and Waterways,3964.88,1199.92,5164.8,263-266   
,Ministry of Power,,29635.83,361.02,29996.85,
,79. ,Ministry of Power,29635.83,361.02,29996.85,267-271   
